25-07-10 15:45:48.235 : Model path: model_zoo\dncnn_25.pth
25-07-10 15:45:48.235 : Params number: 555137
25-07-10 15:45:48.236 : model_name:dncnn_25, image sigma:25
25-07-10 15:45:48.236 : testsets\taipei101
25-07-10 15:49:47.557 : A023_C009_0101VU_052_1752113516.png - PSNR: 36.31 dB; SSIM: 0.8677.
25-07-10 15:49:52.435 : A023_C009_0101VU_053_1752113517.png - PSNR: 36.32 dB; SSIM: 0.8680.
25-07-10 15:49:57.022 : A023_C009_0101VU_054_1752113518.png - PSNR: 36.32 dB; SSIM: 0.8682.
25-07-10 15:50:01.641 : A023_C009_0101VU_055_1752113518.png - PSNR: 36.32 dB; SSIM: 0.8684.
25-07-10 15:50:06.148 : A023_C009_0101VU_056_1752113519.png - PSNR: 36.33 dB; SSIM: 0.8683.
25-07-10 15:50:10.689 : A023_C009_0101VU_057_1752113520.png - PSNR: 36.31 dB; SSIM: 0.8680.
25-07-10 15:50:15.455 : A023_C009_0101VU_058_1752113520.png - PSNR: 36.33 dB; SSIM: 0.8685.
25-07-10 15:50:20.169 : A023_C009_0101VU_059_1752113521.png - PSNR: 36.30 dB; SSIM: 0.8679.
25-07-10 15:50:24.933 : A023_C009_0101VU_060_1752113522.png - PSNR: 36.34 dB; SSIM: 0.8691.
25-07-10 15:50:25.088 : Average PSNR/SSIM(RGB) - taipei101_dncnn_25 - PSNR: 36.34 dB; SSIM: 0.8678
